mainKey,name,metaScore,releaseDate,maturityRating,publisher,genre,userScore,platform,imgUrl
79204ed170c8a49de05733068bed1d7c,NFL Fever 2004,74,27-Aug-03,E,Microsoft Game Studios,"Genre(s): Sports, Traditional, Football, Sim",8.8,XBOX,http://static.metacritic.com/images/products/games/1/c2f1b96a1520e073ea6c5745b36ef5cc-53.jpg
7921cc1c8f394a9732d68dd51dd89e50,Ratchet: Deadlocked,81,25-Oct-05,T,SCEA,"Genre(s): Action, Shooter, Third-Person, Sci-Fi",8.8,PS2,http://static.metacritic.com/images/products/games/1/fb6c68b9a033fc2436d8cd89554d7ff3-53.jpg
792388cf971a49a375ffb9b9de65cef4,Disgaea: Afternoon of Darkness,87,30-Oct-07,T,NIS America,"Genre(s): Strategy, Turn-Based, Fantasy, Fantasy, Tactics",8.2,PSP,http://static.metacritic.com/images/products/games/3/3d6cf621b6ac6692ed07b30cd55f41dd-53.jpg
7928d5bac31de516b854c121a6baaec9,UEFA Euro 2012,64,24-Apr-12,E,EA Sports,,2.9,PC,http://static.metacritic.com/images/products/games/8/0d5a0ecc3ea67c84c7ff9c281f678cca-53.jpg
792d66fec3b0844524e8bf9a860132fa,SSX 3,63,11-Nov-03,E,EA Sports Big,"Genre(s): Sports, Alternative, Snowboarding",7.2,GBA,http://static.metacritic.com/images/products/games/6/066c436323e28efb7552bee96aecab6e-53.jpg
7930744ea0c4c22a72def5e4070b35b9,Viewtiful Joe,90,24-Aug-04,T,Capcom,"Genre(s): Action, Beat-'Em-Up",8.2,PS2,http://static.metacritic.com/images/products/games/3/00257b4345580bb9401dcb9c40bb748b-53.jpg
793e491c58e08f75526dbd4ec65ec008,Borderlands: Mad Moxxi's Underdome Riot,63,29-Dec-09,M,2K Games,,5.6,X360,http://static.metacritic.com/images/products/games/0/56c4d7563bb1d2f0e0e409e9cf0815c8-53.jpg
7941c4d7f80d218cf78f2f4a491e67a5,The Lord of the Rings: Aragorn's Quest,58,14-Sep-10,T,Warner Bros. Interactive Entertainment,"Genre(s): Action Adventure, Fantasy, General, Fantasy",6.4,PS3,http://static.metacritic.com/images/products/games/6/3926b8d51751bec996f4c3ea5ab97012-53.jpg
794435bf6555b7407f7f3aa0c8b57a9b,Alpha Black Zero: Intrepid Protocol,51,2-Sep-04,T,Playlogic,"Genre(s): Action, Shooter, Sci-Fi, Third-Person, Sci-Fi, Shooter",-1,PC,http://static.metacritic.com/images/products/games/2/35a15e529701b2d600343bcb28644d66-53.jpg
7946d1cda12eeedccf2d7739480d4810,SingStar Amped,76,18-Sep-07,T,SCEA,"Genre(s): Miscellaneous, Rhythm, Music",-1,PS2,http://static.metacritic.com/images/products/games/6/a56109a019a6481cc8682c9416aaf2ea-53.jpg
79471b39dcb37db1f916495780ddc923,"Scene It? Lights, Camera, Action",73,6-Nov-07,T,Microsoft Game Studios,"Genre(s): Miscellaneous, Trivia / Game Show, Trivia / Game Show",8.1,X360,http://static.metacritic.com/images/products/games/3/e6763e17117a772431364ccc89218459-53.jpg
79483ccb26e7520e06b2037e7ab00a4d,SimCity Societies,63,13-Nov-07,E10+,Electronic Arts,"Genre(s): Strategy, City Building, Modern, Modern, Management, Government",4.3,PC,http://static.metacritic.com/images/products/games/0/46c6cb53dd6c955703d516c996913925-53.jpg
7948da9d2ee3c0f852be37a9578770ae,Mega Man Star Force 2: Zerker x Ninja,55,24-Jun-08,E,Capcom,"Genre(s): Role-Playing, Action RPG, Action RPG",8,DS,http://static.metacritic.com/images/products/games/9/5017e8b934ccd5838685390fc677aa7c-53.jpg
794bc6dd0e6bcacfc392d5cc727add12,Shin Megami Tensei: Persona 3 FES,89,22-Apr-08,M,Atlus Co.,"Genre(s): Role-Playing, Console-style RPG",8.4,PS2,http://static.metacritic.com/images/products/games/5/5c986967f7f1ee0b40ec766e64d8a300-53.jpg
7958a747b841db0ae0d2d84efd46103e,Batman: Arkham Asylum,91,15-Sep-09,T,Eidos Interactive,"Genre(s): Action Adventure, Fantasy, General, Fantasy",8.7,PC,http://static.metacritic.com/images/products/games/5/8c0d025f0ad5d0f625717b6806ed0afc-53.jpg
79599c79400df8589ed24304ef412dc0,Dragon Ball Z: Infinite World,48,4-Dec-08,T,Atari,"Genre(s): Action, Fighting, 3D",7.8,PS2,http://static.metacritic.com/images/products/games/5/74544f9fac8eb9117fc33869c903e1be-53.jpg
795b13e21b1e1223cf9a67e5a5b66331,Sid Meier's Pirates!,82,22-Jan-07,E10+,2K Games,"Genre(s): Strategy, Real-Time, Historic, General",7.7,PSP,http://static.metacritic.com/images/products/games/1/c73ef92e57230f7757747e1dd5232c12-53.jpg
795d8c238ab25646bf230788ef262534,Rise & Shine,64,13-Jan-17,,Adult Swim,"Genre(s): Action, Platformer, 2D",6.2,PC,http://static.metacritic.com/images/products/games/1/882d9e2e77e9ce6d2ab0d114d426c4eb-53.jpg
